epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,15102.5,1.48116,0.90488,1.18305,0.80671,0.79418,0.8235,0.46035,1.55856,0.93509,1.22569,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,15600,1.4757,0.90238,1.18752,0.78944,0.79557,0.82224,0.45723,1.54558,0.93182,1.21964,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,16095.6,1.47081,0.89087,1.17785,0.79679,0.81475,0.82894,0.46417,1.54851,0.92932,1.21803,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,16592.2,1.46506,0.87847,1.17613,0.79063,0.80949,0.82625,0.46742,1.53891,0.92441,1.20798,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,17089.5,1.45397,0.87063,1.16644,0.78913,0.80285,0.81654,0.45751,1.55738,0.93243,1.22184,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,17587.2,1.44946,0.86455,1.16316,0.80243,0.79936,0.82844,0.46301,1.54086,0.90486,1.21789,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,18082.8,1.44123,0.85611,1.16364,0.81153,0.80028,0.82941,0.46866,1.53902,0.89884,1.21057,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,18580.6,1.4425,0.8517,1.15735,0.80162,0.81451,0.82996,0.47071,1.53172,0.90044,1.21456,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,19078.1,1.43782,0.85041,1.16038,0.79342,0.82013,0.83254,0.47046,1.5399,0.88963,1.22015,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,19574.5,1.43392,0.84855,1.15787,0.80901,0.81403,0.83609,0.47415,1.53103,0.89777,1.20831,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
