epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8686,2.1599,7.15427,1.73598,0,0,0,0,0,0,0,3.30383e-05,3.30383e-05,0.0669947
2,75.8082,1.85401,6.2565,1.51196,0,0,0,0,0,0,0,6.58407e-05,6.58407e-05,0.0336942
3,108.133,1.77525,6.0754,1.42236,0,0,0,0,0,0,0,9.81097e-05,9.81097e-05,0.000393095
