epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.5419,2.12157,3.47634,1.83798,0.82942,0.22222,0.20935,0.1063,2.19619,3.6331,1.72839,0.089011,1.1e-05,1.1e-05
2,168.031,1.81568,1.96123,1.51819,0.47515,0.3254,0.19571,0.08922,2.03537,3.67113,1.80058,0.0770228,2.2816e-05,2.2816e-05
3,246.29,1.58233,1.41117,1.36209,0.33222,0.50704,0.43944,0.22653,1.79256,2.12858,1.52367,0.0650344,3.444e-05,3.444e-05
4,325.944,1.62097,1.57692,1.38319,0.69698,0.5,0.57541,0.31408,1.8542,1.53084,1.59251,0.0530459,4.5872e-05,4.5872e-05
5,415.472,1.50971,1.38642,1.3584,0.80267,0.59479,0.63531,0.33535,1.80581,1.29055,1.54888,0.0410571,5.7112e-05,5.7112e-05
6,497.129,1.48878,1.33171,1.30554,0.84952,0.60038,0.65708,0.37916,1.59884,1.25896,1.52535,0.0290682,6.816e-05,6.816e-05
7,575.751,1.4088,1.17611,1.2612,0.77737,0.53968,0.67201,0.36535,1.68937,1.28862,1.57878,0.017079,7.9016e-05,7.9016e-05
8,648.308,1.44201,1.16154,1.30819,0.9325,0.61549,0.94209,0.49657,1.56974,0.99583,1.4649,0.00508968,8.968e-05,8.968e-05
9,726.332,1.32199,1.08531,1.22488,0.81032,0.60675,0.90937,0.42454,1.78603,1.13235,1.67247,9.36e-05,9.36e-05,9.36e-05
